Name (caveats to the data),RTG $,Oil/Water Used,Type of Fish,Latin Name,Country Origin,Brand,Has Salt,Has Sugar,Sauce/Inclusions,Boneless,Skinless,Pieces/Tin,Tin Size (in grams unless otherwise noted),Tin Size (in oz unless otherwise noted),Smoked,Grilled/Seared,Citrus,Garlic,Chili Pepper,Tomato,Dairy,Gluten,Organic,Kosher Cert,Servings/tin,Sodium/Serv (mg),% RDA Sodium,,Judged Score,
Santa Catarina Tuna Fillets in Mediterranean Sauce,11,None,"Tuna, Skipjack",Katsuwonus pelamis,Portugal,Santa Catarina,Yes,No,Mediterreanean,NA,NA,4,120,4.2,No,No,No,Yes,Yes,Yes,No,No,No,None,2,270,11,,,
Santa Catarina Tuna Fillets in Olive Oil and Azorean Pepper,11,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Portugal,Santa Catarina,Yes,No,Azorean Pepper,NA,NA,4,120,4.2,No,No,No,No,No,No,No,No,No,None,2,270,11,,,
Santa Catarina Tuna Fillets in Olive Oil and Basil,11,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Portugal,Santa Catarina,Yes,No,Basil,NA,NA,4,120,4.2,No,No,No,No,No,No,No,No,No,None,2,270,11,,,
Santa Catarina Tuna Fillets in Olive Oil and Curry,11,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Portugal,Santa Catarina,Yes,No,Curry,NA,NA,4,120,4.2,No,No,No,No,No,No,No,No,No,None,2,270,11,,,
Santa Catarina Tuna Fillets in Olive Oil and Fennel,11,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Portugal,Santa Catarina,Yes,No,Fennel Seeds,NA,NA,4,120,4.2,No,No,No,No,No,No,No,No,No,None,2,270,11,,,
Santa Catarina Tuna Fillets in Olive Oil and Oregano,11,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Portugal,Santa Catarina,Yes,No,Oregano,NA,NA,4,120,4.2,No,No,No,No,No,No,No,No,No,None,2,270,11,,,
Santa Catarina Tuna Fillets in Olive Oil and Rosemary,11,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Portugal,Santa Catarina,Yes,No,Rosemary,NA,NA,4,120,4.2,No,No,No,No,No,No,No,No,No,None,2,270,11,,,
Santa Catarina Tuna Fillets in Olive Oil and Thyme,11,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Portugal,Santa Catarina,Yes,No,Thyme,NA,NA,4,120,4.2,No,No,No,No,No,No,No,No,No,None,2,270,11,,,
Santa Catarina Tuna Fillets in Organic Olive Oil,12,"Olive Oil, Organic","Tuna, Skipjack",Katsuwonus pelamis,Portugal,Santa Catarina,Yes,No,None,NA,NA,4,120,4.2,No,No,No,No,No,No,No,No,Yes,None,2,270,11,,,
Santa Catarina Tuna Fillets with Molho Cru,18,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Portugal,Santa Catarina,Yes,No,"onion, red bell pepper, olive oil, chili pepper paste (chilli pepper, salt, preservative benzoic acid), vinegar (white wine vinegar, water, preservative sulfur dioxide – contains SULPHITES), garlic, paprika, parsley, and salt",NA,NA,Unstated,120,4.2,No,No,No,Yes,Yes,No,No,No,No,None,2,270,11,,,
Sardinha Lightly Smoked Sardines in Olive Oil,9,Olive Oil,Sardines,Sardina pilchardus,Portugal,Sardinha,Yes,No,None,No,No,Unstated,120,4.2,Yes,No,No,No,No,No,No,No,No,None,,,,,,
Sardinha Lightly Smoked Skinless and Boneless Sardines in Olive Oil,11.5,Olive Oil,Sardines,Sardina pilchardus,Portugal,Sardinha,Yes,No,None,Yes,Yes,Unstated,120,4.2,Yes,No,No,No,No,No,No,No,No,None,,,,,,
Sardinha Sardines in Spicy Tomato Sauce with Olive Oil,8,Olive Oil,Sardines,Sardina pilchardus,Portugal,Sardinha,Yes,No,Spicy Tomato,No,No,Unstated,120,4.2,No,No,No,No,Yes,Yes,No,No,No,None,,,,,,
Sardinha Sardines in Olive Oil with Truffle Flavorr,8,Olive Oil,Sardines,Sardina pilchardus,Portugal,Sardinha,Yes,No,Truffle Flavor,No,No,Unstated,120,4.2,No,No,No,No,No,No,No,No,No,None,,,,,,
Sardinha Sardines in Escabeche,8,Sunflower Oil,Sardines,Sardina pilchardus,Portugal,Sardinha,Yes,No,Escabeche,No,No,Unstated,120,4.2,No,No,No,No,No,No,No,No,No,None,,,,,,
Sardinha Sardines in Olive Oil,8,Olive Oli,Sardines,Sardina pilchardus,Portugal,Sardinha,Yes,No,None,No,No,Unstated,120,4.2,No,No,No,No,No,No,No,No,No,None,,,,,,
Sardinha Sardines in Olive Oil with Curry,8,Olive Oil,Sardines,Sardina pilchardus,Portugal,Sardinha,Yes,No,Curry,No,No,Unstated,120,4.2,No,No,No,No,No,No,No,No,No,None,,,,,,
Sardinha Sardines in Olive Oil with Lemon,8,Olive Oil,Sardines,Sardina pilchardus,Portugal,Sardinha,Yes,No,Lemon,No,No,Unstated,120,4.2,No,No,Yes,No,No,No,No,No,No,None,,,,,,
Sardinha Sardines in Olive Oil with Oregano,8,Olive Oil,Sardines,Sardina pilchardus,Portugal,Sardinha,Yes,No,Oregano,No,No,Unstated,120,4.2,No,No,No,No,No,No,No,No,No,None,,,,,,
Sardinha Sardines in Olive Oil with Red Bell Pepper,8,Olive Oil,Sardines,Sardina pilchardus,Portugal,Sardinha,Yes,No,Bell Pepper,No,No,Unstated,120,4.2,No,No,No,No,No,No,No,No,No,None,,,,,,
Sardinha Sardines in Spicy Olive Oil with Pickles,8,Olive Oil,Sardines,Sardina pilchardus,Portugal,Sardinha,Yes,No,Pickles,No,No,Unstated,120,4.2,No,No,No,No,No,No,No,No,No,None,,,,,,
Sardinha Sardines in Tomato Sauce with Olive Oil,8,Olive Oil,Sardines,Sardina pilchardus,Portugal,Sardinha,Yes,No,Tomato,No,No,Unstated,120,4.2,No,No,No,No,No,Yes,No,No,No,None,,,,,,
Sardinha Skinless and Boneless Sardines in Olive Oil,11.5,Olive Oil,Sardines,Sardina pilchardus,Portugal,Sardinha,Yes,No,None,Yes,Yes,Unstated,120,4.2,No,No,No,No,No,No,No,No,No,None,,,,,,
Sardinha Skinless and Boneless Sardines in Spicy Olive Oil,11.5,Olive Oil,Sardines,Sardina pilchardus,Portugal,Sardinha,Yes,No,Chili pepper,Yes,Yes,Unstated,120,4.2,No,No,No,No,Yes,No,No,No,No,None,,,,,,
Sardinha Skinless and Boneless Sardines in Tomato Sauce with Olive Oil,11.5,Olive Oil,Sardines,Sardina pilchardus,Portugal,Sardinha,Yes,No,Tomato,Yes,Yes,Unstated,120,4.2,No,No,No,No,No,Yes,No,No,No,None,,,,,,
Sardinha Small Sardines in Olive Oil,8,Olive Oil,Sardines,Sardina pilchardus,Portugal,Sardinha,Yes,No,None,No,No,Unstated,120,4.2,No,No,No,No,No,No,No,No,No,None,,,,,,
Sempio Braised Anchovies in Soy Sauce,6,Corn Oil,Anchovies,,Korea,Sempio,Yes,Yes,"Almond, spices",NA,NA,Unstated,50,1.76,No,No,No,No,No,No,No,No,No,None,1,1,400,12,,
Sempio Braised Anchovies with Hot Pepper Paste (Gochujang),6,Corn Oil,Anchovies,,Korea,Sempio,Yes,Yes,"Gochujang, spices, almonds, pumpkin seed",NA,NA,Unstated,50,1.76,No,No,No,?,Yes,No,Yes,Yes,No,None,1,750,33,,,
Sempio Braised Dried Pollock in Spicy Sauce (Gochujang),6,Corn Oil,Pollock,,Korea,Sempio,Yes,Yes,Gochujang,NA,NA,Unstated,50,1.76,No,No,No,No,Yes,No,?,?,No,None,1,690,30,,,
Stabburet Stabbur-Makrell (Mackerel Fillet) in Tomato Sauce,11.5,Canola Oil,Mackerel,,Norway,Stabbuet,Yes,Yes,Tomato,NA,NA,Unstated,170,,No,No,No,No,No,Yes,No,No,No,None,1,?,?,,,
Sunnmöre Fish Balls in Brine (Fiskeboller i kraft),14.5,Brine,"Great silver smelt, haddock, saithe, Alaska pollack",,Norway,Sunnmore,Yes,No,None,NA,NA,Unstated,800,,No,No,No,No,No,No,Yes,No,No,None,4,525,22,,,
Sunnmöre Mackerel Fillets in Tomato Sauce,7,Rapeseed Oil,Mackerel,,Norway,Sunnmore,Yes,Yes,Tomato,NA,NA,Unstated,170,,No,No,No,No,No,Yes,No,No,No,None,1,?,?,,,
Sunnmöre Peppered Mackerel (Peppermakrell),7,Rapeseed Oil,Mackerel,,Norway,Sunnmore,Yes,No,Pepper,NA,NA,Unstated,170,,No,No,No,No,No,No,No,No,No,None,1,?,?,,,
Tiny Fish Co. Octopus with Lemon and Dill,17,"Sunflower Oil, Butter",Octopus,Enteroctopus dofleini,USA,Tiny Fish Co.,Yes,No,"Lemon, Dill",NA,NA,Unstated,99,,No,No,Yes,No,No,No,Yes,No,No,None,2,618,27,,,
"Tiny Fish Co. Black Cod in Soy Sauce (actually, it’s Tamari)",17,Tamari,Black Cod,,USA,Tiny Fish Co.,Yes,Yes,Tamari,Yes,Yes,Unstated,99,,No,No,No,No,No,No,No,No,No,None,2,1371,60,,,
Tiny Fish Co. Smoked Geoduck with Black Pepper,21,None,"Clam, Geoduck",Panopea generosa,USA,Tiny Fish Co.,Yes,Yes,Black Pepper,NA,NA,Unstated,99,,Yes,No,No,No,No,No,No,No,No,None,2,618,27,,,
Tiny Fish Co. Smoked Mussels en Escabeche,17,Extra Virgin Olive Oil,Mussels,Mytilus galloprovincialis,USA,Tiny Fish Co.,Yes,No,Escabeche,NA,NA,Unstated,133,,Yes,No,No,No,No,No,No,No,No,None,2,618,27,,,
Wildfish Cannery Classic Coho Salmon,13,None,"Salmon, Coho",Oncorhynchus kisutch,USA,Wildfish Cannery,Yes,Yes,None,Yes,No,Unstated,170,,No,No,No,Yes,No,No,No,No,No,None,3,310,13,,,
Wildfish Cannery Smoked Coho Salmon,17,None,"Salmon, Coho",Oncorhynchus kisutch,USA,Wildfish Cannery,Yes,Yes,None,Yes,No,NA,170,,Yes,No,No,No,No,No,No,No,No,None,3,350,14,,,
Wildfish Cannery Smoked Geoduck,31.5,None,"Clam, Geoduck",Panopea generosa,USA,Wildfish Cannery,Yes,No,None,NA,NA,Unstated,170,,Yes,No,No,No,No,No,No,No,No,None,3,350,15,,,
Wildfish Cannery Smoked Herring,12,None,Herring,Clupea pallasii,USA,Wildfish Cannery,Yes,Yes,None,No,No,Unstated,170,,Yes,No,No,No,No,No,No,No,No,None,3.5,189,8,,,
Wildfish Cannery Smoked King Salmon,19.5,None,"Salmon, King",Oncorhynchus tshawytscha,USA,Wildfish Cannery,Yes,Yes,None,Yes,No,NA,170,,Yes,No,No,No,No,No,No,No,No,None,3,360,15,,,
Wildfish Cannery Smoked Octopus,26.5,None,Octopus,Enteroctopus dofleini,USA,Wildfish Cannery,Yes,Yes,None,NA,NA,Unstated,170,,Yes,No,No,No,No,No,No,No,No,None,3,160,7,,,
Wildfish Cannery Smoked Pink Salmon,14.5,None,"Salmon, Pink",Oncorhynchus gorbuscha,USA,Wildfish Cannery,Yes,Yes,None,Yes,No,NA,170,,Yes,No,No,No,No,No,No,No,No,None,3,350,14,,,
Wildfish Cannery Smoked Sockeye Salmon,19,None,"Salmon, Sockeye",Oncorhynchus nerka,USA,Wildfish Cannery,Yes,Yes,None,Yes,No,NA,170,,Yes,No,No,No,No,No,No,No,No,None,3,200,8,,,
Wildfish Cannery Smoked White King Salmon,23,None,"Salmon, King",Oncorhynchus tshawytscha,USA,Wildfish Cannery,Yes,Yes,None,Yes,No,NA,170,,Yes,No,No,No,No,No,No,No,No,None,3,360,15,,,
Yurrita Cantabrian Anchovy Fillets in Olive Oil,12,Olive OIl,Anchovy,Engraulis encrasicolus,Spain,Yurrita,Yes,No,None,Yes,Yes,Unstated,50,,No,No,No,No,No,No,No,No,No,OU,2,900,38,,,
Yurrita Cockles in Brine 25/35,26,Water,Cockles,Cerastoderma edule,Spain,Yurrita,Yes,No,None,NA,NA,25/35,111,,No,No,No,No,No,No,No,No,No,None,1,380,17,,,
Yurrita Mussels in Pickled Sauce (Mejillones en Escabeche) 8/12,13.5,Sunflower Oil,Mussels,Mytilus galloprovincialis,Spain,Yurrita,Yes,No,Escabeche,NA,NA,8/12,111,,No,No,No,No,No,No,No,No,No,None,2,272,6,,,
Yurrita Sardines in Olive Oil,8.5,Olive OIl,Sardines,Sardina pilchardus,Spain,Yurrita,Yes,No,None,No,No,Unstated,120,,No,No,No,No,No,No,No,No,No,None,2,211,9,,,
Yurrita Sardinillas (Small Sardines) in Olive Oil 10/14,10.5,Olive Oil,Sardines,Sardina pilchardus,Spain,Yurrita,Yes,No,None,No,No,10/14,115,,No,No,No,No,No,No,No,No,No,None,2,146,6,,,
Yurrita Squid in Ink Sauce,15,Sunflower Oil,Squid,Loligo gahi,Spain,Yurrita,Yes,No,Ink,NA,NA,Unstated,111,,No,No,No,No,No,No,No,No,No,None,2,158,7,,,
Yurrita Squid in Olive Oil,18,Olive Oil,Squid,Loligo gahi,Spain,Yurrita,Yes,No,None,NA,NA,NA,111,,No,No,No,No,No,No,No,No,No,None,2,173,7,,,
Yurrita Ventresca of White Tuna,21,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Yurrita,Yes,No,None,NA,NA,Unstated,111,,No,No,No,No,No,No,No,No,No,None,1,144,6,,,
Yurrita Ventresca of Yellowfin Tuna,17,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,Yurrita,Yes,No,None,NA,NA,NA,111,,No,No,No,No,No,No,No,No,No,None,4,187,8,,,
Yurrita White Tuna in Olive Oil,10,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Yurrita,Yes,No,None,NA,NA,Unstated,111,,No,No,No,No,No,No,No,No,No,None,4,144,6,,,
"Yurrita White Tuna in Olive Oil with Piquillo Peppers, Glass Jar",18,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Yurrita,Yes,No,Piquillo Peppers,NA,NA,NA,225,,No,No,No,No,No,No,No,No,No,None,4,144,6,,,
"Yurrita White Tuna in Olive Oil, Glass Jar",16.5,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Yurrita,Yes,No,None,NA,NA,Unstated,190,,No,No,No,No,No,No,No,No,No,None,4,128,5,,,
Zallo Bonito del Norte (White Tuna) in Escabeche,16,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Zallo,Yes,No,Escabeche,NA,NA,NA,112,,No,No,No,No,No,No,No,No,No,None,1,200,8,,,
Zallo Bonito del Norte (White Tuna) in Olive Oil,17.5,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Zallo,Yes,No,None,NA,NA,NA,112,,No,No,No,No,No,No,No,No,No,None,1,440,19,,,
"Zallo Bonito del Norte (White Tuna) in Olive Oil, glass jar",21,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Zallo,Yes,No,None,NA,NA,NA,220,,No,No,No,No,No,No,No,No,No,None,2.5,220,9,,,
Zallo Ventresca Bonito del Norte (White Tuna Belly) in Olive Oil,30,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Zallo,Yes,No,None,NA,NA,NA,112,,No,No,No,No,No,No,No,No,No,None,1.5,220,9,,,
Zallo Yellowfin (Atun Claro) Ventresca in Olive Oil,24.5,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,Zallo,Yes,No,None,NA,NA,NA,112,,No,No,No,No,No,No,No,No,No,None,1,360,16,,,
